ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60625,37,09/06/2020,09/12/2020,53,2098,67,2647.6,547,15816,690,19958.9,0.1,0.1,0,110,0.0,138.8,79243,60625-37,POINT (-87.701816 41.971155)
60626,23,05/31/2020,06/06/2020,68,1074,137,2159.7,460,4040,925,8123.9,0.1,0.3,8,101,16.1,203.1,49730,60626-23,POINT (-87.669834 42.009469)
60625,39,09/20/2020,09/26/2020,54,2206,68,2783.8,700,17158,883,21652.4,0.1,0.1,1,113,1.3,142.6,79243,60625-39,POINT (-87.701816 41.971155)
60625,40,09/27/2020,10/03/2020,56,2262,71,2854.5,751,17909,948,22600.1,0.1,0.1,1,114,1.3,143.9,79243,60625-40,POINT (-87.701816 41.971155)
60626,36,08/30/2020,09/05/2020,22,1384,44,2783,447,11700,899,23527,0.0,0.1,0,119,0.0,239.3,49730,60626-36,POINT (-87.669834 42.009469)
60626,37,09/06/2020,09/12/2020,24,1408,48,2831.3,377,12077,758,24285.1,0.1,0.1,0,119,0.0,239.3,49730,60626-37,POINT (-87.669834 42.009469)
60626,39,09/20/2020,09/26/2020,25,1451,50,2917.8,447,12911,899,25962.2,0.1,0.1,1,120,2.0,241.3,49730,60626-39,POINT (-87.669834 42.009469)
60626,40,09/27/2020,10/03/2020,21,1472,42,2960,520,13431,1046,27007.8,0.0,0.1,0,120,0.0,241.3,49730,60626-40,POINT (-87.669834 42.009469)
60628,29,07/12/2020,07/18/2020,49,1309,73,1961.8,621,8789,931,13172.2,0.1,0.1,3,109,4.5,163.4,66724,60628-29,POINT (-87.621537 41.694192)
60628,30,07/19/2020,07/25/2020,57,1366,85,2047.2,637,9426,955,14126.9,0.1,0.1,1,110,1.5,164.9,66724,60628-30,POINT (-87.621537 41.694192)
60628,35,08/23/2020,08/29/2020,32,1579,48,2366.5,522,12288,782,18416.2,0.1,0.1,1,114,1.5,170.9,66724,60628-35,POINT (-87.621537 41.694192)
